GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
5001400US2003,2003,"Congressional District 3 (114th Congress), Kansas",285307,2618,193040,3247,149752,3272,92267,3464,4.8,0.5,2.8,0.5,1.1,0.4,10.0,1.2,3.6,0.5,2.3,0.5,1.1,0.4,6.6,1.0,8.4,0.8,5.9,0.9,2.4,0.6,15.4,1.8,9.0,0.8,6.9,0.9,4.5,0.9,13.8,1.6,12.1,0.8,10.4,1.0,8.8,1.0,16.0,1.6,18.2,1.0,17.3,1.3,16.9,1.3,19.2,2.0,13.3,0.9,14.8,1.2,16.4,1.4,8.9,1.3,15.5,0.9,19.7,1.2,24.0,1.5,6.5,1.2,7.2,0.7,9.5,0.9,11.6,1.1,1.8,0.7,7.8,0.6,10.6,0.8,13.3,1.0,1.7,0.6,64949,1719,82127,1919,97408,3122,38214,1955,91066,2314,107583,2858,124290,3522,53318,3434,23.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),24.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),21.1,(X)
5001400US2004,2004,"Congressional District 4 (114th Congress), Kansas",272478,3207,179898,4025,137415,3760,92580,3624,7.1,0.6,4.0,0.6,1.7,0.4,14.2,1.6,5.5,0.7,3.3,0.8,1.1,0.3,11.1,1.5,9.8,0.8,6.1,0.8,3.7,0.7,17.4,1.6,11.9,0.8,10.2,1.0,7.7,0.9,16.1,1.6,14.2,1.1,13.8,1.1,12.2,1.3,15.2,1.5,19.8,1.2,20.7,1.4,22.5,1.5,16.1,1.6,12.2,0.8,15.6,1.1,18.2,1.4,4.8,0.8,12.5,0.9,16.9,1.2,20.6,1.4,3.2,0.8,3.7,0.5,5.1,0.8,6.5,1.0,1.0,0.3,3.4,0.5,4.5,0.7,5.8,0.9,0.9,0.4,51538,1202,64285,2135,76138,1669,29476,1344,67955,1571,81506,2516,93843,2732,38779,1737,31.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.5,(X)
5001400US2101,2101,"Congressional District 1 (114th Congress), Kentucky",282156,4454,190455,4392,144582,4444,91701,4132,10.9,0.8,6.8,0.8,2.8,0.6,21.2,1.8,7.4,0.7,3.8,0.6,2.1,0.6,15.1,1.6,15.0,0.9,11.3,1.0,7.9,0.9,24.0,2.2,12.4,0.9,11.7,1.1,10.7,1.0,13.9,1.4,15.7,0.8,17.0,1.0,17.5,1.2,12.5,1.6,17.0,0.9,20.4,1.1,23.1,1.4,8.3,1.3,10.5,0.8,14.0,1.2,17.2,1.5,2.7,0.8,7.7,0.7,10.4,1.0,13.0,1.3,1.5,0.6,2.2,0.4,3.0,0.5,3.7,0.7,0.2,0.2,1.3,0.3,1.8,0.5,2.1,0.6,0.5,0.3,38507,905,49412,1736,59465,1669,20366,867,51337,1377,61546,1887,70427,2143,27988,1307,34.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),34.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.9,(X)
5001400US2102,2102,"Congressional District 2 (114th Congress), Kentucky",277832,3379,193632,3914,148682,3820,84200,3651,8.1,0.7,4.6,0.7,1.7,0.4,17.5,1.7,5.9,0.7,3.3,0.7,1.6,0.5,12.6,1.6,12.3,0.8,9.9,0.9,6.0,0.8,18.7,1.9,11.9,1.1,9.9,1.2,8.7,1.1,15.9,2.0,15.5,1.0,15.1,1.3,14.9,1.5,15.9,2.0,19.0,1.3,22.1,1.6,24.5,1.8,11.9,1.9,12.0,0.9,14.9,1.2,17.8,1.4,4.5,1.4,11.4,0.8,15.0,1.0,18.3,1.3,2.3,0.7,2.2,0.4,3.0,0.5,3.7,0.7,0.4,0.3,1.7,0.3,2.2,0.5,2.8,0.6,0.4,0.3,45757,1066,57213,1606,66038,1734,25591,1016,58330,1521,68220,1809,77606,2010,33820,2148,27.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.2,(X)
5001400US2103,2103,"Congressional District 3 (114th Congress), Kentucky",300489,3657,175320,4044,117995,3748,125169,4020,8.8,0.8,4.8,0.9,0.9,0.3,15.8,1.4,5.6,0.6,2.8,0.6,1.1,0.4,9.8,1.3,12.2,1.0,8.6,1.2,4.6,1.0,17.3,1.8,10.4,0.9,10.1,1.2,6.8,1.0,11.8,1.5,15.3,0.9,14.3,1.2,12.8,1.5,16.6,1.5,18.7,1.0,19.5,1.4,20.8,1.6,15.9,1.4,10.5,0.8,13.1,1.2,17.1,1.7,6.3,1.0,10.6,0.7,15.1,1.2,19.5,1.5,3.8,0.7,3.9,0.5,5.9,0.7,8.3,1.0,1.1,0.5,4.1,0.4,5.7,0.6,8.1,0.9,1.6,0.6,47228,1245,60165,2172,79254,2996,30674,1162,66895,1643,82925,2610,102264,3375,42214,1877,32.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.9,(X)
5001400US2104,2104,"Congressional District 4 (114th Congress), Kentucky",275723,3119,188514,4164,144611,4019,87209,3585,7.9,0.8,5.1,0.9,2.0,0.6,15.3,1.7,5.4,0.7,3.0,0.6,1.3,0.4,10.9,1.6,10.2,0.8,7.5,0.9,3.8,0.7,17.4,1.8,9.6,0.9,7.8,0.9,6.4,0.8,13.9,1.8,13.2,0.9,12.5,1.2,11.7,1.3,15.7,1.8,17.6,1.0,18.4,1.4,20.0,1.6,13.6,1.6,13.1,0.9,16.0,1.3,18.4,1.5,6.5,1.2,14.3,0.8,18.3,1.1,22.6,1.5,4.7,1.0,4.7,0.5,6.1,0.7,7.4,1.0,1.0,0.4,4.0,0.5,5.3,0.7,6.5,0.9,1.0,0.5,54214,1720,69000,2677,81255,2474,28503,1919,71533,1869,83879,2111,96594,2747,41647,3392,30.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.7,(X)
5001400US2105,2105,"Congressional District 5 (114th Congress), Kentucky",278624,3959,189840,5005,136060,4909,88784,3765,16.4,1.2,11.0,1.1,6.0,0.9,30.7,2.5,9.9,0.9,7.2,1.0,4.8,0.8,16.6,1.8,16.5,1.1,14.8,1.2,11.7,1.3,19.7,1.8,12.5,0.9,12.4,1.1,12.3,1.2,12.1,1.8,14.5,1.0,16.0,1.3,17.8,1.4,10.7,1.5,15.6,1.0,19.5,1.3,23.1,1.6,6.6,1.4,7.2,0.8,9.4,1.0,11.8,1.3,2.3,0.8,5.2,0.7,7.1,0.9,8.7,1.2,0.6,0.4,1.3,0.3,1.6,0.4,2.2,0.6,0.6,0.4,0.8,0.2,1.1,0.3,1.5,0.5,0.2,0.2,30267,1156,38684,1684,47801,1668,16052,1042,41659,1205,49099,1432,57344,1736,23817,1477,30.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.0,(X)
5001400US2106,2106,"Congressional District 6 (114th Congress), Kentucky",297270,4008,186825,4419,136996,3987,110445,4328,8.9,0.9,5.3,0.9,1.6,0.5,16.0,1.7,6.8,0.8,4.4,0.7,2.3,0.6,11.5,1.6,12.2,0.8,9.5,1.2,6.3,1.1,17.4,1.9,10.7,0.9,8.7,1.2,6.4,1.1,13.8,1.4,14.0,1.0,13.0,1.1,12.8,1.3,14.9,1.8,18.2,1.1,20.3,1.6,22.0,1.6,14.2,1.6,11.2,0.8,13.5,1.2,16.4,1.5,6.7,1.2,11.3,0.8,15.5,1.2,19.7,1.5,4.0,1.0,3.5,0.6,5.1,0.9,6.5,1.1,0.8,0.4,3.3,0.4,4.7,0.5,6.0,0.7,0.7,0.3,47057,1718,60728,1732,72827,2685,27776,2126,63875,1693,77838,2592,91671,2847,38236,1654,23.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),24.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),21.0,(X)
5001400US2201,2201,"Congressional District 1 (114th Congress), Louisiana",294038,5214,196754,4339,141947,4149,97284,4214,6.5,0.8,4.8,0.8,2.0,0.8,12.3,1.9,4.7,0.6,2.5,0.7,1.1,0.3,10.1,1.6,10.2,0.9,7.7,0.9,4.3,0.9,15.3,1.8,10.5,0.9,8.7,1.0,6.5,1.0,13.6,1.8,14.2,1.1,12.6,1.1,10.8,1.3,17.4,2.2,17.9,1.2,19.1,1.6,20.5,1.9,14.8,1.8,12.1,1.0,13.8,1.1,15.5,1.4,8.0,1.4,13.5,0.9,17.3,1.2,21.8,1.6,5.0,1.0,5.0,0.6,6.3,0.8,8.3,1.1,1.8,0.7,5.5,0.5,7.2,0.8,9.1,1.1,1.8,0.6,54764,1616,67585,2139,82275,3256,33405,3081,77204,2292,90979,3402,107475,4466,45627,2228,36.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),37.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),32.5,(X)
5001400US2202,2202,"Congressional District 2 (114th Congress), Louisiana",292635,5043,167654,3868,90462,4078,124981,3969,14.2,0.9,9.1,1.1,2.9,0.9,22.0,1.5,8.8,0.7,6.3,1.0,2.3,0.8,12.6,1.5,13.4,1.0,11.7,1.2,7.7,1.3,16.3,1.6,12.3,0.9,11.3,1.2,7.7,1.4,13.4,1.5,13.7,0.8,14.0,1.3,13.9,1.8,13.5,1.5,13.9,1.0,15.9,1.3,19.5,1.9,10.3,1.3,9.2,0.8,12.1,1.2,15.9,1.8,5.4,0.8,8.9,0.8,12.1,1.1,18.5,1.9,3.8,0.7,2.8,0.4,3.7,0.7,6.1,1.3,1.3,0.4,2.9,0.4,3.9,0.6,5.7,0.9,1.6,0.5,36297,1233,47479,2024,68414,3033,24303,1747,55762,1750,67366,2528,89080,3888,38310,2325,41.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),43.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),37.4,(X)
