GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
5000900US0101,0101,"Congressional District 1 (109th Congress), Alabama",666932,4513,656475,4485,450323,2427,185896,3894,5131,1335,7886,831,732,1068,506,390,6001,1414,267,290,5734,1450,10457,198,5066,1120,692,516,0,265,0,265,0,265,4254,1120,445,400,224,266,221,241
5000900US0102,0102,"Congressional District 2 (109th Congress), Alabama",649951,6720,637883,6890,423693,4144,200998,6094,1857,499,5004,1699,68,124,191,246,6072,1119,769,553,5303,954,12068,1446,6634,1396,392,262,0,265,0,265,213,198,4233,1065,596,374,266,199,330,311
5000900US0103,0103,"Congressional District 3 (109th Congress), Alabama",657814,7821,648125,7750,423381,6223,209641,5725,1853,533,6875,1376,129,218,646,813,5600,1303,0,265,5600,1303,9689,949,5206,1059,906,624,118,143,70,120,47,98,2528,898,814,563,269,306,545,487
5000900US0104,0104,"Congressional District 4 (109th Congress), Alabama",652585,4019,622524,4149,577612,3991,32981,1805,3236,871,3224,1197,182,202,335,229,4954,1131,26,46,4928,1131,30061,1116,19550,2207,635,694,950,894,163,195,912,1000,6494,2157,1357,799,937,713,420,286
5000900US0105,0105,"Congressional District 5 (109th Congress), Alabama",670041,3583,651316,3702,511801,3636,115088,2067,4412,886,8493,1120,0,265,297,266,11225,1689,213,246,11012,1655,18725,548,11859,1988,709,527,0,265,0,265,73,126,5809,2007,275,297,204,265,71,121
5000900US0106,0106,"Congressional District 6 (109th Congress), Alabama",697031,8300,681928,7976,587045,7939,75924,5619,1672,495,11861,2020,108,177,115,140,5203,1353,26,44,5177,1351,15103,1895,10415,2245,452,372,0,265,0,265,0,265,3835,1265,401,374,300,348,101,148
5000900US0107,0107,"Congressional District 7 (109th Congress), Alabama",604676,8827,589347,8465,197845,6669,383608,6923,1363,599,2196,1118,197,330,738,838,3400,890,110,128,3290,875,15329,2067,7528,1802,1399,648,0,265,110,173,583,825,5009,1764,700,650,381,508,319,432
5000900US0200,0200,"Congressional District (at Large) (109th Congress), Alaska",670053,*****,632555,854,443944,665,20419,1969,86688,2860,29622,1823,3526,722,616,511,47740,4253,656,562,47084,4268,37498,854,16226,2381,1057,823,1338,684,529,662,227,327,11352,2270,6769,1819,2320,940,4449,1582
5000900US0401,0401,"Congressional District 1 (109th Congress), Arizona",730163,8427,593702,6437,416918,5519,8370,1371,151467,3976,4674,807,463,531,1490,676,10320,2147,905,686,9415,2107,136461,4694,63371,5908,454,634,3162,1419,329,283,520,625,60569,5711,8056,2336,5295,1688,2761,1723
